"Municipio","Departamento","Matemática","Lenguaje","Promedio","Evaluados"
"SAN BERNARDO","CUNDINAMARCA",44.99,46.07,0.51,136
"VILLA CARO","NORTE SANTANDER",43.25,47.08,0.51,36
"PAZ DE ARIPORO","CASANARE",45.07,45.99,0.51,469
"MELGAR","TOLIMA",43.66,46.81,0.51,395
"ALGECIRAS","HUILA",44.55,46.28,0.51,216
"SAN PEDRO","SUCRE",43.82,46.7,0.51,218
"TULUA","VALLE",42.9,47.23,0.51,1979
"BRICEÑO","BOYACÁ",45.88,45.47,0.51,32
"SANTA ROSA DEL SUR","BOLÍVAR",44.18,46.46,0.51,328
"GRANADA","CUNDINAMARCA",45.05,45.95,0.51,86
"SAN JUAN DE RIO SECO","CUNDINAMARCA",43.74,46.69,0.51,121
"CUMARAL","META",43.53,46.81,0.51,256
"FUNZA","CUNDINAMARCA",43.09,47.04,0.51,584
"MONTEBELLO","ANTIOQUIA",41.84,47.77,0.51,48
"PUERTO SALGAR","CUNDINAMARCA",43.36,46.87,0.51,157
"COLON","PUTUMAYO",44.83,46,0.51,59
"CHAPARRAL","TOLIMA",44.37,46.27,0.51,365
"SUAZA","HUILA",43.43,46.81,0.5,104
"BOAVITA","BOYACÁ",45.66,45.5,0.5,127
"MERCADERES","CAUCA",45.52,45.58,0.5,131
"AGUA DE DIOS","CUNDINAMARCA",44.36,46.24,0.5,143
"PALOCABILDO","TOLIMA",44.52,46.14,0.5,65
"QUEBRADANEGRA","CUNDINAMARCA",41.87,47.69,0.5,48
"SOTAQUIRA","BOYACÁ",43.79,46.54,0.5,98
"VILLAGARZON","PUTUMAYO",44.71,45.99,0.5,329
"YOPAL","CASANARE",44.32,46.22,0.5,2273
"GAMA","CUNDINAMARCA",45.14,45.73,0.5,22
"BARRANCABERMEJA","SANTANDER",43.85,46.48,0.5,1952
"SAN MARTIN","META",44.14,46.29,0.5,278
"JENESANO","BOYACÁ",44.16,46.28,0.5,67
"EL TABLON","NARIÑO",45.18,45.67,0.5,205
"MANAURE BALCON DEL CESAR","CESAR",43.81,46.45,0.5,152
"CAICEDONIA","VALLE",43.18,46.82,0.5,343
"ANDALUCIA","VALLE",42.69,47.11,0.5,184
"MONTELIBANO","CÓRDOBA",43.05,46.89,0.5,708
"LANDAZURI","SANTANDER",43.39,46.68,0.5,130
"LOS ANDES (SOTOMAYOR)","NARIÑO",44.26,46.17,0.5,125
"EL COLEGIO","CUNDINAMARCA",43.9,46.38,0.5,346
"CHOCONTA","CUNDINAMARCA",45.2,45.61,0.5,270
"MOCOA","PUTUMAYO",44.01,46.3,0.5,848
"CHIPATA","SANTANDER",43.2,46.78,0.5,45
"QUETAME","CUNDINAMARCA",43.72,46.47,0.5,93
"SUAITA","SANTANDER",44.83,45.82,0.5,149
"LA PAZ","SANTANDER",44.85,45.79,0.5,49
"SUSACON","BOYACÁ",45.02,45.67,0.5,36
"MONIQUIRA","BOYACÁ",44.27,46.1,0.5,205
"QUINCHIA","RISARALDA",42.55,47.11,0.5,333
"VILLAPINZON","CUNDINAMARCA",44.75,45.81,0.5,272
"YACUANQUER","NARIÑO",44.39,46.01,0.5,151
"ALPUJARRA","TOLIMA",43.8,46.33,0.5,60
"TESALIA","HUILA",44.64,45.83,0.5,110
"MOLAGAVITA","SANTANDER",44.55,45.87,0.49,40
"PUERTO RICO","META",43.66,46.39,0.49,90
"CALAMAR","GUAVIARE",43.87,46.26,0.49,54
"SIMACOTA","SANTANDER",44.69,45.77,0.49,89
"MIRANDA","CAUCA",44.27,46.01,0.49,312
"TABIO","CUNDINAMARCA",42.5,47.04,0.49,265
"TENJO","CUNDINAMARCA",43.07,46.68,0.49,220
"MONTERIA","CÓRDOBA",43.34,46.52,0.49,3711
"TITIRIBI","ANTIOQUIA",43.4,46.48,0.49,70
"NARIÑO","ANTIOQUIA",41.87,47.37,0.49,44
"RIOSUCIO","CALDAS",43.33,46.5,0.49,738
"LABATECA","NORTE SANTANDER",44.39,45.86,0.49,72
"IQUIRA","HUILA",43.94,46.12,0.49,116
"TIMBIO","CAUCA",42.92,46.71,0.49,315
"FILANDIA","QUINDÍO",43.69,46.25,0.49,191
"SOMONDOCO","BOYACÁ",41.37,47.61,0.49,49
"PACHO","CUNDINAMARCA",43.38,46.43,0.49,420
"MONGUA","BOYACÁ",43.95,46.09,0.49,54
"TIBACUY","CUNDINAMARCA",43.47,46.37,0.49,43
"RIVERA","HUILA",44,46.06,0.49,202
"CHIVATA","BOYACÁ",43.05,46.61,0.49,41
"UBAQUE","CUNDINAMARCA",43.47,46.36,0.49,66
"CORDOBA","NARIÑO",44.29,45.86,0.49,202
"LA BELLEZA","SANTANDER",42.83,46.7,0.49,53
"GUAYABETAL","CUNDINAMARCA",43.48,46.31,0.49,62
"SEVILLA","VALLE",43.01,46.59,0.49,450
"ANAPOIMA","CUNDINAMARCA",43.53,46.27,0.49,167
"CHINAVITA","BOYACÁ",44.14,45.91,0.49,42
"CUMBAL","NARIÑO",43.9,46.05,0.49,375
"CALIFORNIA","SANTANDER",42.13,47.07,0.49,15
"SALAMINA","CALDAS",43.8,46.08,0.49,191
"BETULIA","ANTIOQUIA",43.48,46.26,0.49,174
"ICONONZO","TOLIMA",43.65,46.16,0.49,144
"CANDELARIA","VALLE",43.09,46.49,0.49,635
"VERGARA","CUNDINAMARCA",43.61,46.19,0.49,59
"PALMAR DE VARELA","ATLÁNTICO",43.7,46.13,0.49,356
"SALENTO","QUINDÍO",42.7,46.71,0.49,80
"PUERTO ASIS","PUTUMAYO",43.85,46.03,0.49,537
"RONDON","BOYACÁ",44.54,45.62,0.49,37
"SAN JOSE","CALDAS",42.99,46.52,0.49,80
"SIBATE","CUNDINAMARCA",43.65,46.13,0.48,339
"CONCORDIA","ANTIOQUIA",43.77,46.05,0.48,120
"BOYACA","BOYACÁ",43.23,46.36,0.48,52
"CASABIANCA","TOLIMA",42.82,46.59,0.48,60
"BARRANQUILLA","ATLÁNTICO",43.91,45.94,0.48,12074
"QUIMBAYA","QUINDÍO",42.78,46.6,0.48,429
"LA ESPERANZA","NORTE SANTANDER",42.69,46.63,0.48,57
"BELMIRA","ANTIOQUIA",42.01,47.02,0.48,78
"CHAMEZA","CASANARE",43.25,46.29,0.48,28
"CAREPA","ANTIOQUIA",42.97,46.45,0.48,336
"MORROA","SUCRE",44.54,45.53,0.48,112
"ABREGO","NORTE SANTANDER",43.58,46.08,0.48,208
"MONTENEGRO","QUINDÍO",43.3,46.2,0.48,484
"ARAUCA","ARAUCA",43.5,46.08,0.48,837
"AGRADO","HUILA",44.01,45.78,0.48,72
"MURILLO","TOLIMA",43.72,45.93,0.48,40
"LA FLORIDA","NARIÑO",44.04,45.74,0.48,129
"VIANI","CUNDINAMARCA",42.94,46.37,0.48,37
"AMALFI","ANTIOQUIA",43.29,46.16,0.48,265
"CACHIPAY","CUNDINAMARCA",43.7,45.92,0.48,87
"VILLA DEL ROSARIO","NORTE SANTANDER",43.76,45.88,0.48,795
"LA LLANADA","NARIÑO",44.88,45.21,0.48,62
"DAGUA","VALLE",42.76,46.45,0.48,346
"MOTAVITA","BOYACÁ",42.8,46.41,0.48,79
"LENGUAZAQUE","CUNDINAMARCA",44.44,45.43,0.48,93
"TENA","CUNDINAMARCA",42.05,46.83,0.48,85
"AMAGA","ANTIOQUIA",43.11,46.18,0.48,276
"PUERTO NARE (LA MAGDALENA)","ANTIOQUIA",43.25,46.1,0.48,157
"AGUADAS","CALDAS",42.23,46.7,0.48,279
"SAN ANDRES","SANTANDER",44.42,45.4,0.47,146
"SASAIMA","CUNDINAMARCA",43.42,45.98,0.47,177
"PUEBLORRICO","ANTIOQUIA",43.24,46.07,0.47,71
"AGUACHICA","CESAR",43.54,45.9,0.47,737
"CURITI","SANTANDER",43.56,45.87,0.47,176
"SAN AGUSTIN","HUILA",43.41,45.95,0.47,413
"ARAUQUITA","ARAUCA",44,45.6,0.47,372
"TOLU","SUCRE",42.9,46.23,0.47,256
"ALBAN (SAN JOSE)","NARIÑO",43.83,45.68,0.47,161
"EL PLAYON","SANTANDER",43.22,46.03,0.47,155
"SINCE","SUCRE",43.82,45.67,0.47,291
