"Municipio","Departamento","Lenguaje","Evaluados"
"GRAMALOTE","NORTE SANTANDER",46.59,69
"MONGUI","BOYACÁ",46.59,92
"SEVILLA","VALLE",46.59,450
"SINCELEJO","SUCRE",46.59,2914
"CAQUEZA","CUNDINAMARCA",46.58,184
"GUAITARILLA","NARIÑO",46.58,138
"ALCALA","VALLE",46.56,136
"LINARES","NARIÑO",46.55,105
"SOTAQUIRA","BOYACÁ",46.54,98
"VILLARRICA","TOLIMA",46.54,68
"ANCUYA","NARIÑO",46.53,101
"SACAMA","CASANARE",46.53,15
"TENZA","BOYACÁ",46.53,49
"MONTERIA","CÓRDOBA",46.52,3711
"SAN JOSE","CALDAS",46.52,80
"ACACIAS","META",46.51,1003
"RIOSUCIO","CALDAS",46.5,738
"CANDELARIA","VALLE",46.49,635
"COMBITA","BOYACÁ",46.49,115
"HONDA","TOLIMA",46.49,283
"BARRANCABERMEJA","SANTANDER",46.48,1952
"CONTRATACION","SANTANDER",46.48,90
"TITIRIBI","ANTIOQUIA",46.48,70
"QUETAME","CUNDINAMARCA",46.47,93
"TOPAGA","BOYACÁ",46.47,45
"ZETAQUIRA","BOYACÁ",46.47,73
"SANTA ROSA DEL SUR","BOLÍVAR",46.46,328
"CAREPA","ANTIOQUIA",46.45,336
"DAGUA","VALLE",46.45,346
"ENCISO","SANTANDER",46.45,53
"MANAURE BALCON DEL CESAR","CESAR",46.45,152
"SAN PABLO","NARIÑO",46.45,169
"TOGUI","BOYACÁ",46.44,45
"PACHO","CUNDINAMARCA",46.43,420
"MOTAVITA","BOYACÁ",46.41,79
"PUERTO RICO","META",46.39,90
"SABANALARGA","CASANARE",46.39,57
"EL COLEGIO","CUNDINAMARCA",46.38,346
"TIBACUY","CUNDINAMARCA",46.37,43
"VIANI","CUNDINAMARCA",46.37,37
"BOYACA","BOYACÁ",46.36,52
"UBAQUE","CUNDINAMARCA",46.36,66
"CACHIRA","NORTE SANTANDER",46.35,107
"GAMEZA","BOYACÁ",46.35,55
"PINCHOTE","SANTANDER",46.35,77
"ALPUJARRA","TOLIMA",46.33,60
"EL CARMEN","CHOCÓ",46.33,87
"CHIVOR","BOYACÁ",46.31,26
"GUAYABETAL","CUNDINAMARCA",46.31,62
"MOCOA","PUTUMAYO",46.3,848
"ARANZAZU","CALDAS",46.29,171
"CHAMEZA","CASANARE",46.29,28
"SAN MARTIN","META",46.29,278
"ALGECIRAS","HUILA",46.28,216
"JENESANO","BOYACÁ",46.28,67
"ANAPOIMA","CUNDINAMARCA",46.27,167
"CHAPARRAL","TOLIMA",46.27,365
"BETULIA","ANTIOQUIA",46.26,174
"CALAMAR","GUAVIARE",46.26,54
"CONCEPCION","ANTIOQUIA",46.26,23
"MOGOTES","SANTANDER",46.26,106
"MONTERREY","CASANARE",46.26,332
"FILANDIA","QUINDÍO",46.25,191
"MIRAFLORES","GUAVIARE",46.25,28
"AGUA DE DIOS","CUNDINAMARCA",46.24,143
"FREDONIA","ANTIOQUIA",46.23,282
"TOLU","SUCRE",46.23,256
"VALPARAISO","ANTIOQUIA",46.23,65
"FOMEQUE","CUNDINAMARCA",46.22,173
"SURATA","SANTANDER",46.22,36
"YOPAL","CASANARE",46.22,2273
"ARGELIA","CAUCA",46.2,108
"MONTENEGRO","QUINDÍO",46.2,484
"NUNCHIA","CASANARE",46.2,87
"SIMIJACA","CUNDINAMARCA",46.2,143
"SONSON","ANTIOQUIA",46.2,340
"VERGARA","CUNDINAMARCA",46.19,59
"AMAGA","ANTIOQUIA",46.18,276
"LOS ANDES (SOTOMAYOR)","NARIÑO",46.17,125
"AMALFI","ANTIOQUIA",46.16,265
"CUCAITA","BOYACÁ",46.16,60
"EL CERRITO","VALLE",46.16,549
"ICONONZO","TOLIMA",46.16,144
"TIMANA","HUILA",46.15,174
"PALOCABILDO","TOLIMA",46.14,65
"CAPARRAPI","CUNDINAMARCA",46.13,102
"PALMAR DE VARELA","ATLÁNTICO",46.13,356
"SIBATE","CUNDINAMARCA",46.13,339
"IQUIRA","HUILA",46.12,116
"YUMBO","VALLE",46.12,992
"MALLAMA (PIEDRANCHA)","NARIÑO",46.11,77
"EL CASTILLO","META",46.1,60
"GUACHETA","CUNDINAMARCA",46.1,149
"MONIQUIRA","BOYACÁ",46.1,205
"PUERTO NARE (LA MAGDALENA)","ANTIOQUIA",46.1,157
"ANSERMA","CALDAS",46.09,433
"CARAMANTA","ANTIOQUIA",46.09,55
"MONGUA","BOYACÁ",46.09,54
"ABREGO","NORTE SANTANDER",46.08,208
"ARAUCA","ARAUCA",46.08,837
"EL CARMEN","NORTE SANTANDER",46.08,69
"OICATA","BOYACÁ",46.08,25
"PUERTO LIBERTADOR","CÓRDOBA",46.08,189
"SALAMINA","CALDAS",46.08,191
"PUEBLORRICO","ANTIOQUIA",46.07,71
"SAN BERNARDO","CUNDINAMARCA",46.07,136
"RIVERA","HUILA",46.06,202
"CONCORDIA","ANTIOQUIA",46.05,120
"CUMBAL","NARIÑO",46.05,375
"SANTIAGO","PUTUMAYO",46.05,59
"EL CARMEN","SANTANDER",46.03,125
"EL PLAYON","SANTANDER",46.03,155
"FRESNO","TOLIMA",46.03,272
"OCAMONTE","SANTANDER",46.03,71
"PUERTO ASIS","PUTUMAYO",46.03,537
"MATANZA","SANTANDER",46.02,62
"YARUMAL","ANTIOQUIA",46.02,543
"MIRANDA","CAUCA",46.01,312
"YACUANQUER","NARIÑO",46.01,151
"COLON","PUTUMAYO",46,59
"JAMUNDI","VALLE",45.99,914
"PAZ DE ARIPORO","CASANARE",45.99,469
"VILLAGARZON","PUTUMAYO",45.99,329
"SASAIMA","CUNDINAMARCA",45.98,177
"TOCA","BOYACÁ",45.97,151
